Workforceproportionofindustrypopulation,Agricultureforestryandfishing,Miningandquarrying,Manufacturing,Electricitygasaircondsupply,Watersupplyseweragewaste,Construction,Wholesaleretailrepairofvehicles,Transportandstorage,Accommodationandfoodservices,Informationandcommunication,Financialandinsuranceactivities,Realestateactivities,Profscientifictechnicalactiv.,Adminandsupportservices,Publicadminanddefence,Education,Healthandsocialwork,Artsentertainmentandrecreation,Otherserviceactivities,Householdsasemployers,Extraterritorialorganisations
CorporateManagersAndDirectors,0.1,0.21,0.21,0.06,0.11,0.18,0.21,0.13,0.05,0.16,0.24,0.13,0.17,0.15,0.12,0.03,0.08,0.07,0.09,0,0.29
OtherManagersAndProprietors,0.11,0.01,0.01,0,0.05,0.02,0.05,0.01,0.23,0.02,0.01,0.28,0.02,0.06,0.01,0.01,0.03,0.09,0.06,0,0
ScienceEngineeringTechProfessionals,0.02,0.25,0.18,0.09,0.13,0.07,0.04,0.03,0,0.45,0.1,0.03,0.16,0.05,0.07,0.04,0.03,0.05,0.07,0,0.05
HealthProfessionals,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0.06,0.01,0.38,0,0.03,0,0
TeachingAndEducationalProfessionals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.56,0.01,0.01,0.02,0.05,0
BusinessMediaAndPublicServiceProfessionals,0,0.07,0.05,0.03,0.09,0.08,0.02,0.02,0.01,0.09,0.13,0.1,0.27,0.05,0.18,0.03,0.07,0.11,0.15,0,0.11
ScienceEngineeringTechAssociateProf,0,0.05,0.06,0.02,0.05,0.02,0.01,0.01,0,0.04,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0,0
HealthAndSocialCareAssociateProfessionals,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,0,0.02,0.02,0.06,0.01,0.04,0,0
ProtectiveServiceOccupations,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.21,0,0,0,0,0,0.22
CultureMediaAndSportsOccupations,0,0,0.01,0,0,0,0.01,0,0,0.06,0,0,0.05,0.01,0,0.03,0,0.27,0.02,0,0
BusinessPublicServiceAssociateProf,0.03,0.09,0.08,0.03,0.07,0.03,0.09,0.06,0.03,0.08,0.32,0.2,0.12,0.08,0.07,0.02,0.02,0.06,0.05,0,0.18
AdministrativeOccupations,0.03,0.07,0.06,0.02,0.07,0.04,0.06,0.05,0.03,0.03,0.12,0.1,0.08,0.07,0.14,0.04,0.05,0.07,0.05,0,0.13
SecretarialAndRelatedOccupations,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.02,0,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02
SkilledAgriculturalAndRelatedTrades,0.42,0,0,0,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0.03,0.01,0.23,0
SkilledMetalElectricalElectronicTrades,0.02,0.12,0.17,0.05,0.04,0.1,0.08,0.04,0,0.03,0,0.01,0.02,0.03,0.01,0,0,0.01,0.08,0,0
SkilledConstructionAndBuildingTrades,0.01,0.02,0.03,0.02,0.02,0.37,0.01,0,0.01,0,0,0.03,0.02,0.02,0,0,0,0.01,0,0,0
TextilesPrintingAndOtherSkilledTrades,0.01,0,0.03,0,0,0,0.02,0,0.18,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0
CaringPersonalServiceOccupations,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.11,0.2,0.02,0.06,0.25,0
LeisureTravelAndRelatedPersonalServic,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.04,0,0.01,0.01,0.05,0.16,0.14,0
SalesOccupations,0.01,0,0.01,0,0.01,0,0.19,0,0.03,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0
CustomerServiceOccupations,0,0,0.01,0.02,0.02,0,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.04,0.02,0,0,0.02,0.01,0,0
ProcessPlantAndMachineOperatives,0,0.03,0,0.64,0.03,0.01,0.03,0.06,0.02,0.01,0,0,0,0.02,0.01,0,0,0.01,0,0.2,0
TransportAndDriversAndOperatives,0.03,0.06,0.03,0.01,0.16,0.03,0.05,0.44,0.03,0,0,0,0,0.03,0.01,0.01,0,0.01,0.01,0,0
ElementaryTradesAndRelatedOccupations,0.18,0.01,0.03,0,0.03,0.04,0.01,0.01,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0
ElementaryAdministrationAndServiceOccupations,0.01,0,0.02,0,0.11,0,0.05,0.09,0.32,0,0,0.01,0,0.18,0.01,0.03,0.02,0.05,0.03,0.1,0
